id,key,value,type
21497189,converted_by,Track2osm,regular
21497189,created_by,JOSM,regular
21497204,converted_by,Track2osm,regular
21497204,created_by,JOSM,regular
21497209,exit_to,aeropuerto,regular
21497209,highway,motorway_junction,regular
21497209,name,aeropuerto,regular
21497209,ref,2,regular
21497211,converted_by,Track2osm,regular
21497211,created_by,JOSM,regular
21497220,converted_by,Track2osm,regular
21497220,created_by,JOSM,regular
21497222,converted_by,Track2osm,regular
21497223,converted_by,Track2osm,regular
21750065,admin_level,6,regular
21750065,capital,6,regular
21750065,ele,8,regular
21750065,is_in,Málaga;Andalucía;Spain;Europe,regular
21750065,is_in:continent,Europe,regular
21750065,is_in:country,Spain,regular
21750065,is_in:country_code,ES,regular
21750065,is_in:municipality,Málaga,regular
21750065,is_in:province,Málaga,regular
21750065,is_in:province_code,29,regular
21750065,is_in:region,Andalucía,regular
21750065,name,Málaga,regular
21750065,name:ca,Màlaga,regular
21750065,name:de,Malaga,regular
21750065,name:es,Málaga,regular
21750065,name:hu,Málaga,regular
21750065,name:kn,ಮಾಲಗ,regular
21750065,name:lt,Malaga,regular
21750065,name:lv,Malaga,regular
21750065,name:ru,Малага,regular
21750065,name:sr,Малага,regular
21750065,place,city,regular
21750065,population,568305,regular
21750065,ref:ine,29067000500,regular
21750065,source,Instituto Geográfico Nacional,regular
21750065,source:date,2011-06,regular
21750065,source:ele,MDT5,regular
21750065,source:file,http://centrodedescargas.cnig.es/CentroDescargas/equipamiento/BD_Municipios-Entidades.zip,regular
21750065,source:name,Nomenclátor Geográfico de Municipios y Entidades de Población,regular
21750065,source:population,INE,regular
21750065,wikidata,Q8851,regular
21750065,wikipedia,es:Málaga,regular
26861122,name,Camping Torremolinos,regular
26861122,tourism,camp_site,regular
29687544,created_by,JOSM,regular
29687545,created_by,JOSM,regular
30631829,source,PGS,regular
30631837,source,PGS,regular
30631845,source,PGS,regular
30631849,source,PGS,regular
30631860,source,PGS,regular
30631864,source,PGS,regular
30631873,source,PGS,regular
30631884,source,PGS,regular
30631886,source,PGS,regular
30631888,source,PGS,regular
30631892,source,PGS,regular
30631904,source,PGS,regular
30631906,source,PGS,regular
30631908,source,PGS,regular
30631909,source,PGS,regular
30631915,source,PGS,regular
30631926,source,PGS,regular
30631930,source,PGS,regular
30631932,source,PGS,regular
30631945,source,PGS,regular
30631948,source,PGS,regular
30631957,source,PGS,regular
30631968,source,PGS,regular
30631976,source,PGS,regular
30631984,source,PGS,regular
30631986,source,PGS,regular
30631988,source,PGS,regular
30632018,source,PGS,regular
30632031,source,PGS,regular
30632049,source,PGS,regular
30632059,source,PGS,regular
30632065,source,PGS,regular
30632071,source,PGS,regular
30632079,source,PGS,regular
30632087,source,PGS,regular
30632088,source,PGS,regular
30632089,source,PGS,regular
30632093,source,PGS,regular
30632099,source,PGS,regular
30632116,source,PGS,regular
30632121,source,PGS,regular
30632127,source,PGS,regular
30632132,source,PGS,regular
30632134,source,PGS,regular
30632144,source,PGS,regular
30632149,source,PGS,regular
30632151,source,PGS,regular
30632152,source,PGS,regular
30632155,source,PGS,regular
30632167,source,PGS,regular
30632172,source,PGS,regular
30632182,source,PGS,regular
30632197,source,PGS,regular
30632212,source,PGS,regular
30632222,source,PGS,regular
30632259,source,PGS,regular
30632262,source,PGS,regular
30632278,source,PGS,regular
30632281,source,PGS,regular
30632289,source,PGS,regular
30632294,source,PGS,regular
30632361,source,PGS,regular
30632365,source,PGS,regular
30632375,source,PGS,regular
30632380,source,PGS,regular
30632384,source,PGS,regular
30632392,source,PGS,regular
30632394,source,PGS,regular
30632397,source,PGS,regular
30632415,source,PGS,regular
30632420,source,PGS,regular
30632460,source,PGS,regular
30632462,source,PGS,regular
30632464,source,PGS,regular
30632466,source,PGS,regular
30632474,source,PGS,regular
30632489,source,PGS,regular
30632495,source,PGS,regular
30632512,source,PGS,regular
30632532,source,PGS,regular
30632541,source,PGS,regular
30632562,source,PGS,regular
30632757,source,PGS,regular
30632764,source,PGS,regular
30632835,source,PGS,regular
30632862,source,PGS,regular
30632871,source,PGS,regular
30632885,source,PGS,regular
30632889,source,PGS,regular
30632893,source,PGS,regular
30632895,source,PGS,regular
30632901,source,PGS,regular
30632906,source,PGS,regular
30632911,source,PGS,regular
30632968,source,PGS,regular
30632972,source,PGS,regular
30632975,source,PGS,regular
30632979,source,PGS,regular
30632983,source,PGS,regular
30632984,source,PGS,regular
30632989,source,PGS,regular
30632994,source,PGS,regular
30632999,source,PGS,regular
30633003,source,PGS,regular
30633007,source,PGS,regular
30633009,source,PGS,regular
30633011,source,PGS,regular
30633012,source,PGS,regular
30633013,source,PGS,regular
30633016,source,PGS,regular
30633019,source,PGS,regular
30633022,source,PGS,regular
30633025,source,PGS,regular
30633033,source,PGS,regular
30633036,source,PGS,regular
30633038,source,PGS,regular
30633041,source,PGS,regular
30633042,source,PGS,regular
30633047,source,PGS,regular
30633049,source,PGS,regular
30633050,source,PGS,regular
